City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,palu,-0.8917,119.8707,24.77,94,100,1.16,ID,1681843527
313,glace bay,46.1969,-59.957,4.32,96,100,9.26,CA,1681843527
314,codrington,-38.2667,141.9667,12.42,73,100,4.77,AU,1681843527
315,tabou,4.423,-7.3528,27.74,81,45,4.17,CI,1681843528
316,tura,25.5198,90.2201,27.19,53,0,3.43,IN,1681843528
317,birine,35.635,3.225,19.11,20,60,3.34,DZ,1681843528
318,katsuura,35.1333,140.3,18.01,86,98,11.11,JP,1681843528
319,quba,41.3626,48.5152,8.86,80,63,0.94,AZ,1681843529
320,torbat-e heydariyeh,35.274,59.2195,10.02,21,8,2.24,IR,1681843529
321,kontcha,7.9667,12.2333,30.39,39,78,1.61,CM,1681843529
322,flying fish cove,-10.4217,105.6791,27.43,77,43,6.72,CX,1681843529
323,daru,-9.0763,143.2092,24.34,90,99,2.32,PG,1681843530
324,barra de santo antonio,-9.4047,-35.5072,30.6,74,100,5.25,BR,1681843530
325,lagoa,39.05,-27.9833,14.11,64,99,5.97,PT,1681843530
326,casas grandes,30.3667,-107.95,24.45,9,70,9.58,MX,1681843531
327,alo,7.4178,6.7371,29.37,62,100,3.0,NG,1681843531
328,rosalie,15.3667,-61.2667,30.75,42,20,2.57,DM,1681843531
329,hue,16.4667,107.6,31.06,70,20,1.03,VN,1681843531
330,valdez,1.2492,-78.9831,28.24,71,16,3.61,EC,1681843532
331,melilla,35.2937,-2.9383,18.21,68,20,4.63,ES,1681843532
332,malango,-2.9627,119.9001,20.11,98,100,0.94,ID,1681843532
333,pavlodar,52.3,76.95,-4.11,93,100,9.0,KZ,1681843532
334,remire-montjoly,4.9167,-52.2667,26.02,89,75,1.54,GF,1681843532
335,cooper's town,26.8667,-77.5167,23.39,71,20,7.13,BS,1681843532
336,goulburn,-34.75,149.7167,8.62,89,100,1.07,AU,1681843533
337,las khorey,11.1595,48.1967,29.13,66,5,4.06,SO,1681843533
338,georgetown,5.4112,100.3354,26.96,94,20,1.54,MY,1681843507
339,sao sepe,-30.1606,-53.5653,23.95,27,4,5.8,BR,1681843533
340,prado,-17.3411,-39.2208,27.72,77,14,5.11,BR,1681843534
341,constitucion,-35.3333,-72.4167,16.95,50,3,8.07,CL,1681843534
342,port moresby,-9.4431,147.1797,23.98,87,20,1.76,PG,1681843534
343,impfondo,1.6381,18.0667,25.62,69,38,1.48,CG,1681843534
344,sao francisco do sul,-26.2433,-48.6381,20.95,88,100,1.03,BR,1681843535
345,akrehamn,59.2667,5.1833,8.14,71,0,2.06,NO,1681843535
346,azhikkal,11.9,75.3667,26.43,84,3,2.57,IN,1681843535
347,rudnya,54.947,31.0934,9.24,78,100,3.83,RU,1681843536
348,melo,-32.3667,-54.1833,20.48,23,4,10.49,UY,1681843536
349,yeniseysk,58.4497,92.1703,-12.92,87,100,1.55,RU,1681843537
350,kourou,5.1552,-52.6478,26.03,90,100,1.88,GF,1681843537
351,lazaro cardenas,17.9583,-102.2,29.64,56,6,5.69,MX,1681843537
352,mamers,48.3333,0.25,12.85,89,64,3.79,FR,1681843537
353,elista,46.3078,44.2558,9.29,57,100,8.05,RU,1681843537
354,thetford-mines,46.0937,-71.3054,5.06,73,100,4.07,CA,1681843538
355,muisne,0.6,-80.0333,28.43,73,37,3.58,EC,1681843538
356,sao miguel do araguaia,-13.275,-50.1628,29.89,64,99,2.05,BR,1681843538
357,ulsteinvik,62.3432,5.8487,12.5,74,98,0.45,NO,1681843538
358,viale,-31.8678,-60.0072,19.86,31,0,9.16,AR,1681843538
